sentence;label
The HCI_Exit_Sniff_Mode command is used to exit sniff mode.;1
The C&P, ITP, M&S SURV broadcast loads are excluded from the totals because they are redundant with the SURV broadcasts.;0
The EMC 1s have been selected to ensure an adequate level of compatibility for apparatus at residential, commercial and light industrial environments.;0
N should never be larger than the MaximumServiceRecordCount value specified in the SDP_ServiceSearchRequest.;1
The length field expresses the payload field length in bytes.;1
MaximumServiceRecordCount is a 16-bit count specifying the maximum number of service record handles to be returned in the response(s) to this request.;1
The slave Link Manager shall respond with the LMP_io_capability_res PDU.;1
In addition, when the AMP Controller determines the logical link is established, it shall send a Logical Link Complete event to each Host.;1
An application supports pointing device operations such as chording (i.e., pressing multiple buttons simultaneously) only to provide redundant or shortcut access to actions available elsewhere in the application.;1
This corresponds to a unit established to provide a flight information service (FIS) to traffic at an airport.;1
Rollback can be used for example if an operation is in FAILED_TEMP state, and there is no reason to believe that retrying the operation will eventually succeed.;0
Multipaction is a form of RF voltage breakdown in a vacuum where the electrons impact the electrodes producing more electrons in resonance, resulting in an electrical short.;0
The default designation can move to a different push button depending on the control that has focus in a window.;0
Its contents are considered as a possible Means of Compliance, and were developed under full consideration of the Conformity Assessment (CA) Guidelines to support the achievement of the relevant provisions.;0
Training verification procedures should be established.;1
"Equally, the longevity of the ECV products generated by the CCI programme, as important human assets in the understanding of climate change, is crucial; activities such as long term preservation of the products need to be catered for.";undecidable
These may be used to trigger other experiments’ burst modes.;0
Unit Contract # displays the unique Unit number of a particular Lender-LGU association.;0
Since the two master clocks drift independently, the slave must regularly update the offsets in order to keep synchronization to both masters.;1
When a remote device attempts to access a service offered by a Bluetooth device that is in security mode 4 and a sufficient link key exists and authentication has not been performed the local device shall authenticate the remote device and enable encryption after the channel establishment request (L2CAP_ConnectRsp with result code of 0x0000 or a higher-level channel establishment confirmation such as that of RFCOMM) is sent.;1
Title I, Part C: Migrant Credit Accrual Report and Supplemental Code for Spring Semester Description: Linkage of migrant student records.;0
If experimental input data are used, the test plan, test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based shall be referenced.;1
SST observations have shown numerous examples of small-scale, highly variable phenomena with associated plane- to re-con?gurations of the magnetic ?eld, possibly as a result of reconnection.;0
Where standards exist, they should be used instead of special-purpose protocol specifications, wherever possible.;1
To provide cloud profile information to better constrain retrievals.;1
Technology concepts in use by the Contingency Management WP were assessed.;0
This IE identifies a particular message from the source and type indicated by the Message Identifier and is altered every time the message with a given Message Identifier is changed.;1
The list of locales may be extended in future versions of the specification.;0
The supplier shall describe the flow of activities (process) within the project.;1
The final technology selection will be based on several technology assessment studies conducted to date.;0
The maximum pressure that a pressure vessel is expected to experience during its service life in association with its applicable operating environments.;0
The DWL shall generate and transmit laser pulses and shall acquire backscattered radiation to measure Doppler shift.;1
The set of all non-living elements that are part of the map.;1
There is an additional return parameter that specifies the total number of HCI ACL Data Packets that the Controller may have waiting for transmission in those buffers.;1
For BS type 1-H, the transmitter intermodulation level is the power of the intermodulation products when an interfering signal is injected into the TAB connector.;0
The sustained downlink data rate shall be verified in terms of the success rate of delivered PDCP SDU(s) by Layer 2.;1
Prior to the start of production welding, each welder and welding operator shall be qualified.;1
Until and including edition 2.1 of Part 1 of the ASTERIX documentation, a blocking mechanism may be used to combine ASTERIX record in a data block before transmission.;0
For further details of behavior and implementation for CEC Switches (as defined above), see CEC 13.2, Routing Control.;0
Charge or discharge converters in the PMAD have conversion efficiencies which are generally a function of the charge or discharge current.;0
Highly saturated colors, opposing colors (e.g., yellow and blue), and colors at spectral extremes (e.g., yellow and purple) should not be used together because they can cause afterimages, shadows, and depth effects.;1
Currently business travelers are required to have 30 or more apps from different airports and airlines installed on their phones which does not only result in a bad usability experience but also drives heavy users to third-party applications with less trustworthy data sources.;0
The White List is configured by the Host and is used by the Link Layer to filter advertisers, scanners or initiators.;1
The departments that will benefit the most are located in these governmental bodies.;0
The human engineering program shall be coordinated with RAM (reliability, availability, and maintainability), system safety, survivability and vulnerability, facilities engineering, integrated logistic support, and be integrated into the total system program.;1
JUNG, M., HENKEL, K., HEROLD, M., and CHURKINA, G., 2006, Exploiting synergies of global land cover products for carbon cycle modeling.;0
IMPATTs depend on tuned circuits for their attractive qualities for amplifiers and oscillators.;0
Users will be required to login in order to post on the forum.;1
One must not only consider the normal grouping of end-users, but has to consider especially the functional limitations and (in WP3) its impact on the usage of software, web and mobile applications.;0
Unless otherwise stated, for each subcarrier spacing declared to be supported, the tests shall be done only for the widest supported channel bandwidth.;1
This URS document references the following artefacts which are present in the architecture development tool ABACUS and intended to be kept up-to-date with any changes as the design evolves.;0
The service delivers a variety of point-to-point and multipoint Ethernet services over Layer 1, Layer 2, and Layer 3 topologies with seamless integration.;0
With the implementation of new airspace concepts like Direct Routing and Free Route Airspace as well as with the Airspace Management Tools that enables dynamic exchanges of airspace reservations and activations, the GAM and TSM messages exchanges are deemed as obsolete.;0
"In this case, the aErrorInfo parameter shall be completed with the code value defined in clause ""Parameter Problem Message"" of IETF RFC 792 [26].";1
In case the complete ACL-U packet was not stored in the Controller buffer yet, any Continuation segments, received for the ACL logical transport, shall be flushed, until a First segment is received.;1
Future acquisicicns should refer to Imternatlonal Ckgan~zatlon for Standards (ISG!;0
The C&CCP shall define the cleaning and decontamination methods, procedures and tools, also making reference to their applicability and eventual process parameters.;1
The possible identities of the applications will not be standardized but are implementation specific.;0
GBI Factor -Items designated by FAS as GBI “Core Services,” sometimes referred to as Priorities.;0
The airline and the airport provide information on flight cancellation.;1
RW35 Have consistent way to report on permit status and withdrawal status.;1
An engineering change shall be classified as Class I or Class II by the, preparing contractor in accordance with this standard.;1
The AFCSE enables and disables the Automatic Flight Control System (AFCS), taking input only from the Forward Flight Deck Crew.;1
Open-ended questions were used to allow the interview to provide personal or additional details.;0
"The information pertaining to these essential IPRs, if any, is publicly available for ETSI members and non-members, and can be found in ETSI SR 000 314: ""Intellectual Property Rights (IPRs); Essential, or potentially Essential, IPRs notified to ETSI in respect of ETSI standards"", which is available from the ETSI Secretariat.";0
A cell responsible for the day-to-day management of the airspace under the responsibility of one or more Member States.;0
The Reference field is used to uniquely identify a UI Context event sent from the Source to the Sink.;1
Other than for scopes of work which are done infrequently (see Section A1.3.3) in the event that the Provider’s programme of work does not incorporate any work meeting the 1s for a surveillance visit for a period which extends beyond one month of the surveillance visit due date then the accreditation status of the Provider shall be downgraded to Partial.;1
At debugging phase a communication interface with a high bandwidth is needed.;1
The SC shall provide the AIVT environment described in the EID-B [AD 3] for the WFM.;1
These coupons as well as all unsectioned coupons shall be delivered with the PWBs.;1
Provide security such that the ability to export data to Excel or have access to individual customised reports can be controlled by user.;1
The air coding format bits do not specify which air coding format(s) the local device accepts when a remote device requests an air coding format.;1
A trajectory constraint message provides the Flight Crew a set of constraints (e.g., required time of arrivals [RTAs], 4-D waypoints) that must be taken into account when requesting a trajectory.;0
"ETSI TS 103 544-16 (V1.3.1): ""Publicly Available Specification (PAS); Intelligent Transport Systems (ITS); MirrorLink®; Part 16: Application Developer Certificates"".";0
Parts sensitive to SEL (Single Event Latchup) with a LET threshold of less than 100 MeV cm2/mg shall not be used.;1
Section 2 provides a general description of the EVAL Software System.;0
Routing 0500-0100 It must be possible for the designated 9-1-1 authority to supply, maintain, achieved by geocoding a civic address.;1
Empties for CSA carriers with a CDRP/FAST approved driver.;undecidable
For CPS, NDI operations shall be applied to the composite wall as a minimum.;1
Baseline event timeline for space segment disposal operations.;0
An Administrator shall be able to create and edit notifications.;1
Following exposure to acceptance test environments, cells shall be inspected or tested for signs of electrolyte leakage.;1
Turbo codeblock lengths are specified in Table 7?2.;0
The work proposal for cleanroom commissioning is prepared by the test house, which is responsible for the test activity, and it is submitted to the customer for review and approval.;0
"Common error types are assigned an integer value or code and have a standard description (in the same manner as HTTP Status Codes such as ""404 Not Found"").";0
This report is oriented toward general space battery standards and not toward standards that are more appropriate for specific battery technologies, such as nickel-hydrogen, silver-zinc, lithium-ion or nickel-cadmium, that will be issued in the future.;0
This exclusion shall be possible at the level of the currency.;1
The ‘Next’ button shall not be visible and enabled until the user has executed the ‘Save’ tab.;1
When the Write_Voice_Setting command has completed, a Command Complete event shall be generated.;1
A Controller that supports Directed Advertising Report shall support the following sections of this document.;1
The objective of a flight trial is to validate the performance simulations particularly in areas where difficulties are predicted.;0
At the same time a training programme for auditors was initiated and in 2008 eight audits were conducted to achieve “conformity status” in December 2008.;0
This subclause shall be numbered 7.1 and shall identify the launch vehicle, the launch site location, the ascent trajectory and the injection characteristics.;0
The potential reflections from the wall behind the equipment under test are reduced by placing a barrier of absorbent material in front of it.;0
The start bit has to be validated by its low duration (a) and its total duration (b).;1
The WarmStart parameter of the NLME-RESET.request may also be used for this purpose.;0
The ease in which a substance flows in Pascal-second (Pa.s).;undecidable
"Window: Throughout the year; Application open until all funds are allocated Description: Any public school or academic program within a public school which is established by and level if such school or program is designed in cooperation with business to enhance the academic curriculum, increase graduation and employment rates, and better prepare students for the rigors of college and the increasingly complex work force; students in such public school or program will be subject to the same academic standards and assessments as other students educated by the LEA; the comprehensive education plan of such school or program is approved by the LEA; and the school is located in an empowerment zone or enterprise community or there is a reasonable expectation that at least 35 percent of the students attending the school or program will be eligible for free or reduced price lunches under the National School Lunch program.";undecidable
The design of battery charge and discharge equipment should protect against accidental damage to the cells, module, or battery due to any reverse polarity, shorting, overcharging, thermal runaway, or high pressure generation.;1
An upper frequency of 40GHz should capture most space situations for now and the near future.;0
Every time a new connection is started through paging, scanning, or role switch, the master sends a POLL packet as the first packet in the new connection.;1
The objective is to handle the visibility of vehicles on the apron using a filter.;0
"ETSI ES 202 971: ""Access and Terminals (AT); Public Switched Telephone Network (PSTN); Harmonized specification of physical and electrical characteristics of a 2-wire analogue interface for short line interface"".";0
If a slave is in active mode on an ACL logical transport, it shall listen in every ACL slot to the master traffic, unless that link is being treated as a scatternet link or is absent due to hold mode.;1
The low layer is defined for regions with pressures greater than 680 hPa and the middle layer resides between 440 and 680 hPa (same as CONUS product except this version provides mesoscale coverage).;0
To verify that the ME correctly formats and sends a short message to the network (USS) and display the alpha identifier according to the center alignment text attribute configuration as indicated in the SEND SHORT MESSAGE proactive UICC command, and returns a TERMINAL RESPONSE command to the UICC indicating the status of the transmission of the Short Message.;1
This DRD is called by ECSS?Q?TM?70?51, 1 X5.10bX.;0
D Have many modifications occurred since the beginning of the programme?;0
This allows devices to check whether a request message is coming from a trusted source, and if that source has the rights to ask that request to be performed.;1
Error management must provide a comprehensive way to identify the error type and the criticality of the error.;1
Clear conditions down to cloud top associated with threshold accuracy.;undecidable
Both conducted and radiated emissions are concerned.;0
If all blocks in the current transmission window have been acknowledged, then the transmission window shall be increased by apscMaxWindowSize.;1
The preflight qualification spectrum is therefore baselined to be 6 dB above the acceptance spectrum (a rounding of 10.8 – 4.9 = 5.9).;1
Components may be placed on pans or shallow containers.;0
It is apparent that design considerations such as proper grounding techniques, minimizing of loop areas, and common mode rejection concepts need to be implemented to prevent potential problems with very sensitive circuits used in submarines such as low frequency tuned receivers.;1
"Customer participation in HARs is encouraged and should be recommended; however, customer participation is at their discretion.";undecidable
Demonstration is by analysis, wherein conductive heat paths to heat pipes are individually disconnected and resulting temperature predictions are compared to acceptance limits.;0
Whenever an L2CAP entity transmits an I-frame or an S-frame, ReqSeq shall be set to ExpectedTxSeq or BufferSeq.;1
As default datafiles to be disseminated with mandatory variables only.;undecidable
This value shall be used if the AMP Controller is present and can be powered up by the AMP Manager.;1
The developer shall provide reports of discrepancies and corrective actions to the procurement activity in accordance with contract 1s or development agreements.;1
Users or their nominated representatives shall sign?off a consensus report.;1
Considered to be too cumbersome to be easily understood and employed by the GHMI/Design Team, this format was partially applied (e.g. the policy of describing each object using standard forms and describing each dialog using Action/Effect chart).;0
The NAS shall store forecast weather data for major international aerodromes.;1
In the ME-UICC interface defined in the existing platform, the UICC plays a slave role in the communication with the ME in a way that the UICC cannot initiate by itself the communication with the ME in the case a command from the UICC to the ME is requested to be sent.;1
In general, the DPU shall be designed according to specifications defined in CENELEC EN 60950-1 [2] or CENELEC EN 62368-1 [9].;1
Identifier of the subscription that this notification relates to.;1
The Mode S Radar shall provide continuous, gap-free cover through 360° of azimuth and over a range of 0.5 NM to at least 256 NM.;1
The service is based on the Basic Meta Information Data Service.;0
JavaScript - A programming language designed by Sun Microsystems, in conjunction with Netscape, that can be integrated into standard HTML pages.;0
The diagram indicates the mandatory LAC zone 4 coverage in terms of latitude and longitude on the earth.;0
Non-linearity shall be better than 1 % (threshold), 0.5% (objective).;0
The system shall load all web pages in less than 30 seconds, with the exception of reports.;1
For each PDU session, if the Network Instance IE is included in the PDU Session Resource Setup Info – SN terminated IE contained in the PDU Session Resources To Be Added List IE and the Common Network Instance IE is not present, the S-NG-RAN node shall, if supported, use it when selecting transport network resource as specified in TS 23.501 [7].;1
The respective channel bandwidth of the component carrier under test will be used in the parameter calculations the corresponding pairs shall apply if the minimum gap condition is met.;1
The operational service can be provided to all aircraft provided they have the minimum physical characteristics (e.g. Radar Cross Section) that need to be locally defined in accordance with the specifications of the non cooperative surveillance system.;0
This process generates a vertical acceleration steering command so as to smoothly change the Actual Flight Path Angle of the aircraft to match the Selected Flight Path Angle.;0
The IT solution must comply with the current network and host IP addressing Scheme used over EH.;1
The maximum signal input that the receiver can tolerate without overload needs to be known to ensure that the test levels are reasonable.;0
The transfer of data and interfacing software between structural and means of standard based or direct electronic interfaces where available or by using applicable documents.;0
1s concerning electric propulsion systems (clause 11) are intended to be adopted by such satellites.;1
All manufacturers that are selected for producing hybrids shall be validated as described in Clause 6.;1
Fluid, mechanical, or electrical connections in close proximity shall be designed to prevent cross-connections.;1
Any cracks which appear in the surface and all portions, which sound hollow when tapped, or are found to be soft or otherwise defective, shall be cut out in rectangular shape and re-done as directed by the Engineer.;1
If there are multiple attributes with the requested type within the handle range, and the client would like to get the next attribute with the requested type, it would have to issue another Read By Type Request with its starting handle updated.;1
If the full-scale vessel is to be used for testing, the initial flaws are better fabricated on the outer surface of the vessel for easy monitoring of the crack growth.;1
Bandwidth gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks or Base Station RF Bandwidth on each side of the Inter RF Bandwidth gap.;0
After the deletion of a node, all SSP links pointing to that node shall also be deleted by the SSP file system service, irrespective of the delete right to each SSP link.;1
However, this information is required to perform accurate simulations of the 1030/1090 MHz environment.;0
The brittle characteristics of ceramics and glasses, along with the scarcity of reliable characterization of their properties and in-service performance mean that they are not among the routine structural materials applied to spacecraft.;0
One of the main changes introduced by ATC-WAKE operations concerns the missed approach procedure.;0
To gain and maintain the levels of readiness and proficiency mandated for these skills and capabilities, aerial activities have to be conducted, which are not covered by rules and procedures as specified by ICAO for GAT flights and/or COMMISSION IMPLEMENTING REGULATION (EU) No 923/20122.;1
Bit Mask used to determine which bits of the Class of Device parameter are ‘don’t care’.;1
To ensure that the 1s support the development of the entire information system, it is important to consider all stakeholders in the development and who will be responsible for different components or services underpinned by the CHIS.;0
As an example, if one module of a battery is exposed to proto-qualification levels, the second module of the same battery should also be exposed to proto-qualification levels.;0
Let more and more nodes compute position estimates and spread their position knowledge in the network.;1
Joint technical reviews consist of two types: software-specific joint technical reviews (see Section E.3) and joint technical reviews supporting major reviews (see Section E.4).;0
The measured weight of the material expressed in ounces per square yard or grams per square meter.;0
All cell designs shall provide protection against the generation of high pressure during abuse situation (examples: burst disks, heat-sealed pouches).;1
A back-up solution is in place for the relevant equipment and systems in case of an outage.;1
These intensity changes of the detector measurements will be used to recover the Stokes vector of the solar light.;0
A DSA implementation claiming conformance as a shadow supplier and not the shadowSupplierInitiatedAC or the shadowConsumerInitiatedAC.;0
L1-APPC-13-01 – Determine the conditions under which the responsibility for separation between civil and military flights may rest on the air traffic services units or controlling military units.;0
Rationale: Gateway communications with Earth enables data transfer between Earth and the Gateway (including commands, file uploads, telemetry, engineering and science data, voice, video and images, and crew-related data), as well as supports tracking and position determination of the Gateway.;0
Wire-wrapped connections shall be made with an approved tool type detailed in subclause 4.7.3.;1
A full qualification validates the planned acceptance program, in-process stress screens, and retest environmental stresses resulting from failure and rework.;1
This specification therefore complements and refines the 1s included in this Single European Sky (SES) regulation.;0
The ID element contains one instance of a unique identifier.;1
Each project in this study is strongly identified with the themes it addresses.;0
The supplier shall provide the final customer with a list of materials in order to apply for approval.;1
The test arrangement shall be as shown in figure 3 with the EUT connected to the test receiver.;1
The second component is due to the conducted emissions from the loads reflecting against the total bus impedance.;0
More extensive rework requires retesting that repeats the entire acceptance test sequence.;0
The personnel of the CBC Programme works in two offices, one in Finland (Lappeenranta) and one in Russia (St. Petersburg).;0
A call of highest priority for informing drivers, controllers and other concerned personnel of a level of danger requiring all Railways movements in a pre-defined area to stop.;1
Rationale: Metabolic loads, in conjunction with the operational concept, provide an upper bound for oxygen (O2) demand, carbon dioxide (CO2) production and heat rejection 1s.;0
The usage and assignments of the signals necessary for the support of only USB 2.0 with the USB Type-C mating interface are defined in Table 3-5.;0
References are either specific (identified by date of publication and/or edition number or version number) or non-specific.;0
The decision should be based on the flush timeout may be performed at the physical layer and the reliability of the channel improves, requiring fewer retransmissions at the L2CAP level.;0
The GlobTemperature Matchup Database (GT_MDB) encompasses datafiles for both in situ validation and multi-sensor intercomparisons.;1
Is there a notion on what this review will consist of and who will be involved?;0
Each eMarker in the cable shall transition to Cable Power On upon sensing VCONN less than vRaReconnect or upon a Power On Reset event.;1
Any other design provisions according to the specificity of the mission (e.g. planetary missions).;undecidable
Note that loads using two wires under a SPG approach often have worse radiated emissions due to common-mode emissions on the power lines.;0
This document is published by EUROCONTROL for information purposes.;0
These administrative domains may be closed against external access.;0
"Some have to be kept cold until used; others are prepared by mixing two clear and transparent.";0
If a manufacturer implements any of the optional messages, then they shall be implemented as described in HEAC 3.2.;1
OMTDOOHG, FMTDFFHG, HMTDHHHG, LMTDLLHG and DMTDDDHG have an entry, then the corresponding RCT O/M subfield (identified by the first position of the short name) must also have an entry (ORCTOOHG, FRCTFFHG, HRCTHHHG, LRCTLHG, and DRCTDDHG).;1
The MirrorLink Client should use this information to detect the device, it is connected to via Bluetooth, and whether to display its local in-Call UI.;1
The 1s of this standard shall be implemented by the contractor through the preparation, publication, and maintenance of detailed written procedures.;1
I1 shows a generalized data structure for this type of data.;0
A device shall have only one instance of the GAP service in the GATT server.;1
If UTC lock is not available after five minutes the device shall abandon the test mode without transmitting.;1
The CACLR absolute basic limits in table 6.6.3.5.2-5 + X, (where X = 10log10(NTXU,countedpercell)) or the CACLR limits in table 6.6.3.5.2-4, whichever is less stringent, shall apply for each TAB connector TX min cell group.;1
Only tested and qualified crimp interconnections are covered by this Standard.;0
A spectrum allocation where an AAS BS operates can be either contiguous or non-contiguous.;0
The developer shall identify and record information needed by hands-on users of the software (persons who will both operate the software and make use of its results).;1
Multiple actions shall be considered as an OR connected filtering.;1
Batteries transported incorporated into flight hardware shall be approved on a case-by-case basis.;1
Coding (e.g., color, shading, texture) is used to distinguish among different groups of bars or to highlight important data in one or more of the bars.;1
This message is sent by the SeNB to inform the MeNB that the SeNB Addition Preparation has failed.;1
The training languages specified in the tender must be either English, or Finnish and English.;1
For all other elements shielding, there should be shielding at 100 % optical coverage.;1
The Host should set the scan window as defined in Section 9.3.11.;1
The SecondaryPayloadReceiveLength shall be 74 octets by default.;1
Cloud Liquid Water reports the total equivalent amount of water in a vertical column of air.;1
To verify that the ME correctly integrates the menu items contained in the SET UP MENU proactive SIM command, and returns a successful response in the TERMINAL RESPONSE command sent to the SIM.;1
These data are required to calculate the operational ANS performance indicators.;0
The optional OptionalOutputs element may be present and shall, if present, contain a sub-component as defined in clause 4.1.9 of OASIS DSS-X Core 2.0 [5].;1
"The final disposal orbit shall be stable; i.e., the perigee shall remain above the protected region for at least 100 years.";1
To verify that the Terminal correctly reads the SMS on the ISIM if the USIM and ISIM are both present.;1
The least significant bit in the most significant octet in both A and B is set to 1 if the address is a random address and set to 0 if the address is a public address.;0
Schematics identifying the location and pressure limits of a relief valve and burst disc, shall be provided.;1
Event packets can be sent across USB with a guaranteed latency.;1
To use the biological data with the Grid 3D application, it must be formatted in the specified manner (see ).;0
A statement shall give, in technical and quantitative terms, a precise description of the function requiring support, including, the specific responding tolerance or accuracy, and design criteria necessary.;1
The interference power can be calculated by the convolution of the noise and the GPS signals.;0
Interference to GPS would also be a problem if it were not for the fact that GPS satellites are broadcasting a more powerful signal than their specified minimum.;0
It is acknowledged that any decision to implement SES by military authorities remains a State decision and, in accordance with the EUROCONTROL Regulatory and Advisory Framework (ERAF), these guidelines are voluntary and are not binding on States, but are developed “as contributing to the establishment and operation of safe and efficient systems and services related to ATM in the EUROCONTROL Member States”.;0
Symptoms and consequences of orthostatic intolerance include dizziness, confusion, and loss of consciousness, which may result in an inability to operate controls, complete mission critical tasks, and egress from the vehicle without assistance.;0
Software-related analysis and test results shall be recorded in appropriate SDFs.;1
IPRs essential or potentially essential to the present document may have been declared to ETSI.;0
The Network User also provides information concerning each of its authorized personnel.;0
Any operationally-significant information on the configuration and timing of payload operations should be downlinked in the telemetry.;1
The specification of the display system 1s could be addressed in at least two ways.;0
Any special 1s pertaining to procurement, manufacturing and inspection/testing shall be indicated on the drawings (and therefore under configuration control).;1
Procedure 3 - Establishment of acceptability based upon similarity to units approved under procedure 2. testing the units, when the.contracting activity is satisfied that the units compare with a single unit with tested and approved mechanical design characteristics in accordance with procedure 1.;1
The access to a PIN2 protected data field shall be performed (e.g. UPDATE FDN).;1
"Comments specific to the welding of particular materials are included in the section on that material class; see also subclause A.8.";0
Upon receiving an SGNB MODIFICATION REQUEST message containing the Desired Activity Notification Level IE, the en-gNB shall, if supported, use this information to decide whether to trigger subsequent SgNB Activity Notification procedures, or stop or modify ongoing triggering of these procedures due to a previous request.;1
A state is typically commanded or placed in that state by an and Standby States.;0
The Specification is also expected to evolve following real project and field experience.;0
If a match is found (the orphaned device is its child), the NLME shall obtain the corresponding 16-bit network address and include it in its subsequent orphan response to the MAC sub-layer.;1
Are the design reference cases (i.e., reasonable worst-case conditions) specified?;0
A MirrorLink Server shall pass all other received MirrorLink events to MirrorLink-Certified and Member-Certified Applications.;1
The Approve button verifies that the component has been received and is ready for operational use.;1
NAVAIR 01-1A-505-4/ - Technical Manual, Installation and Testing Practices, Aircraft Fiber Optic Cabling.;0
If more than one critical system position exists, repeat steps a, b, c, d, and e, with the switch in each critical position.;1
MM4P’s long-term mission is to help low income and rural households in LDCs increase their financial security through appropriate, affordable and secure means to receive, manage and save money through these “digital financial services” (DFS).;0
The Coordinate Systems Document shall provide the information presented in the following sections.;0
Temporary hardware and all surfaces near openings resulting from the removal of components shall be visibly clean of contamination, such as dirt, scale and grease, prior to the installation of temporary hardware.;1
New executable locations can be defined from the PHP preferences.;0
To verify that the ME displays the text contained in the GET INKEY proactive UICC command, and returns the text string entered in the TERMINAL RESPONSE command sent to the UICC.;1
The PAIRAPP service is initiated by an ACL instruction to a pair of aircraft to perform a simultaneous approach.;1
Perform orbit determination two orbits later to obtain new orbit conditions.;1
The interferer power levels are specified at the co-location reference antenna conducted input.;0
Structural analyses are conducted to evaluate failure modes of the engine using the most appropriate solution procedure, which could include buckling, static, linear, nonlinear, and transient dynamic analyses.;0
To create the master link key, which can replace the current link key during a session (see Section 3.2.6), other means are needed.;1
Measurements with broad band antennas are also possible provided that the test site has been validated according to CISPR 16-1-4 [5].;0
At the end of the development, the testing of the integrated system in its final configuration, including the electrical system, shall include tests with representative interfaces.;1
Are civil airspace users represented in the Supervisory Board?;0
The spreadsheet also contains the relevant Decision Services and Business Rules (extracted from ABACUS and provided here for completeness, which CSS will need to implement).;0
If required to reach a dynamic amplitude measuring range of 110 dB minimum, a Low Noise Amplifier (LNA) and a notch filter for the operating frequency should be used.;1
If both devices support the encryption pause feature, then this procedure shall be used.;1
No chipout is allowed along the perimeter of the array that represents the active region.;1
An additional problem is that emission profiles from modern electronics are often quite complex.;0
This also specifies the use of a restart function, in the case of an already existing association.;0
Measure throughput according to annex A.1 for each supported polarization.;undecidable
A video format is sufficiently defined such that when it is received at the monitor, the monitor has enough information to properly display the video to the user.;0
The product will be output in harmonised format, with Level-3 averaged data additionally produced.;1
The interfering signal offset is defined relative to the Base Station RF Bandwidth edges or Radio Bandwidth edges.;0
Recommendation X.419 [18] protocol P7 should be used between MS and UA for message retrieval and indirect submission.;1
The flight trajectories are depicted in green and coordination points in black.;0
Then the envelopes will be locked in the delivery queue until the importing NPPO acknowledges successful receipt.;0
Administrator is viewing the given status of student and employer emails.;0
1: Visits of the same field shall be evenly distributed over the lifetime of the mission.;1
The verification to support a cabin leak shall be accomplished by analysis.;1
The above 1 supports the SES 1 for modularity of systems.;0
C--C and CMCs are only used for applications when the design 1s, performance and economical factors justify their selection.;0
Other interfaces than those described in this clause may be provided but shall not in any case have an impact which will degrade the performance of the equipment.;1
Failure detection algorithms shall not repeat the generation of the same exception telemetry if the same failure is detected at each successive failure detection cycle.;1
"The 1s of the standard are arranged so that, in large part, they can be invoked by reference to a lead paragraph; all subparagraphs of that lead paragraph are then applied to the contract.";undecidable
If this parameter is not given, the NFVO shall provide only a copy of the manifest file.;1
Bus: is also a spacecraft (see Spacecraft definition).;0
The contractor shall review SRPs periodically to ensure that they are complete, up-to-date relative to current process capability and state-of-the-art, and are being properly applied under the conditions defined for their use.;1
In this approach, the data package is usually not a collocated set of data, but rather consists of a series of separate links to the relevant data.;0
IS DESIGNED, CONFIGURED AND USED TO MAKE A SIGNIFICANT POSITIVE CONTRIBUTION TO THE EFFECTIVENESS OF SEPARATION PROVISION AND COLLISION AVOIDANCE.;undecidable
Performance measurements are expected to occur during steady state time slices during a test where no commanded changes occur, or enough time has elapsed to reach steady state conditions.;0
See [Vol 2] Part D, Error Codes for a list of error codes and descriptions.;0
Device description: This is a description of a specific device within an application profile.;0
Qualification testing, however, should not create conditions that exceed applicable design safety margins or cause unrealistic modes of failure.;undecidable
For the purposes of this standard, the definitions given in ECSS–P–001 Issue 1 apply.;0
Airport layout will have an influence on the most likely types of conflicts that may occur at the airport, and therefore on the situations that a safety net should focus on.;0
It is equal to the product of the limit load and the design ultimate factor of safety.;0
As with any 1s elicitation activity, it is an iterative process in which analysing the 1s often raises more questions, resulting in additional elicitation activities.;0
After data transfer completion i.e. SPI_CLK stop, master de-asserts SPI_NSS.;1
This section contains examples of HECs computed for sample UAP and packet header contents (Data).;0
A fairing to protect the space vehicle during the boost phase is typically considered part of the launch vehicle.;0
In essence, a cube beam-splitter sends a small fraction of the light of the FDT to a limb-sensor that drives folding mirrors acting as closed-loop tip-tilt system to stabilise the image to the required level.;0
The contractor shall maintain records and findings of final review.;1
Each wire or ribbon shall be subjected to Test Condition C, Method to each terminal.;1
Le rapport recommande fortement à la communauté de la navigation par satellite de soumettre ce problème important à l’attention de leur réglementation radio respective ou aux agences de gestion des fréquences afin d’aider à la défense des fréquences RNSS.;undecidable
The minimum scientific success criteria for the mission are reached if the two core science objectives (TOP1 and TOP2) are achieved.;0
The View Product use case relates to visualisation of the product under two guises – a “Preview” of products, and a “Full View” of products [RD 9, pg 48] composed of generated static images.;0
Any change of route given by the Controller on the R/T must also be accompanied by a route modification via the HMI.;1
Components are usually removable in one piece and are considered indivisible for a particular purpose or use.;0
The inspection shall consist of a review of suit drawings and flight equipment list.;1
The frequency of the pulsed RF signal shall be measured and the value along with the signal level d.;1
Adjacent channel selectivity is a measure of a receiver's ability to receive a signal at its assigned channel frequency in the presence of a signal in the adjacent channel at a given frequency offset from the centre frequency of the assigned channel.;0
If the receiver accepts the change, then it shall finalize the transmission of the current ACL packet with ACL-U information and shall stop ACL-U transmissions, it shall change to the new packet type table and shall respond with an LMP_accepted_ext PDU.;1
